symbol,date,open,high,low,close,volume,market_cap
SC,"Mar 01, 2017",0.000320,0.000414,0.000311,0.000356,"389,652","7,593,710"
SC,"Feb 28, 2017",0.000323,0.000330,0.000300,0.000320,"53,504","7,641,660"
SC,"Feb 27, 2017",0.000326,0.000339,0.000310,0.000322,"94,250","7,708,250"
SC,"Feb 26, 2017",0.000311,0.000344,0.000309,0.000327,"36,629","7,350,880"
SC,"Feb 25, 2017",0.000328,0.000328,0.000307,0.000311,"30,732","7,726,590"
SC,"Feb 24, 2017",0.000330,0.000344,0.000307,0.000328,"64,747","7,766,270"
SC,"Feb 23, 2017",0.000318,0.000349,0.000310,0.000328,"93,783","7,471,180"
SC,"Feb 22, 2017",0.000334,0.000343,0.000316,0.000318,"29,109","7,844,400"
SC,"Feb 21, 2017",0.000333,0.000344,0.000309,0.000334,"101,650","7,812,850"
SC,"Feb 20, 2017",0.000340,0.000349,0.000321,0.000324,"48,282","7,956,120"
SC,"Feb 19, 2017",0.000340,0.000357,0.000332,0.000339,"30,846","7,963,660"
SC,"Feb 18, 2017",0.000357,0.000367,0.000340,0.000349,"54,390","8,353,700"
SC,"Feb 17, 2017",0.000352,0.000372,0.000348,0.000357,"47,142","8,222,820"
SC,"Feb 16, 2017",0.000363,0.000381,0.000356,0.000360,"42,895","8,454,600"
SC,"Feb 15, 2017",0.000361,0.000372,0.000352,0.000363,"48,998","8,401,520"
SC,"Feb 14, 2017",0.000349,0.000379,0.000331,0.000360,"127,465","8,110,100"
SC,"Feb 13, 2017",0.000371,0.000380,0.000342,0.000349,"95,103","8,601,740"
SC,"Feb 12, 2017",0.000380,0.000381,0.000370,0.000371,"35,377","8,820,690"
SC,"Feb 11, 2017",0.000373,0.000383,0.000357,0.000381,"32,678","8,647,180"
SC,"Feb 10, 2017",0.000384,0.000390,0.000349,0.000366,"67,075","8,875,530"
SC,"Feb 09, 2017",0.000398,0.000408,0.000350,0.000385,"165,171","9,184,110"
SC,"Feb 08, 2017",0.000405,0.000419,0.000393,0.000397,"73,753","9,348,490"
SC,"Feb 07, 2017",0.000417,0.000424,0.000402,0.000405,"112,054","9,608,270"
SC,"Feb 06, 2017",0.000401,0.000423,0.000392,0.000423,"155,032","9,231,120"
SC,"Feb 05, 2017",0.000396,0.000408,0.000385,0.000401,"78,120","9,093,620"
SC,"Feb 04, 2017",0.000390,0.000408,0.000377,0.000395,"111,986","8,942,850"
SC,"Feb 03, 2017",0.000385,0.000393,0.000365,0.000389,"101,149","8,834,990"
SC,"Feb 02, 2017",0.000386,0.000400,0.000378,0.000386,"48,847","8,825,760"
SC,"Feb 01, 2017",0.000378,0.000402,0.000369,0.000386,"114,793","8,652,630"
SC,"Jan 31, 2017",0.000377,0.000387,0.000355,0.000378,"173,116","8,605,130"
SC,"Jan 30, 2017",0.000369,0.000386,0.000360,0.000369,"63,094","8,406,820"
SC,"Jan 29, 2017",0.000379,0.000388,0.000361,0.000369,"89,740","8,628,540"
SC,"Jan 28, 2017",0.000376,0.000411,0.000370,0.000386,"192,873","8,543,650"
SC,"Jan 27, 2017",0.000357,0.000393,0.000349,0.000376,"189,887","8,100,570"
SC,"Jan 26, 2017",0.000329,0.000366,0.000326,0.000356,"103,386","7,468,020"
SC,"Jan 25, 2017",0.000333,0.000348,0.000325,0.000336,"91,931","7,536,580"
SC,"Jan 24, 2017",0.000355,0.000358,0.000333,0.000333,"77,005","8,018,380"
SC,"Jan 23, 2017",0.000360,0.000377,0.000351,0.000365,"51,177","8,124,350"
SC,"Jan 22, 2017",0.000351,0.000375,0.000351,0.000360,"151,265","7,907,110"
SC,"Jan 21, 2017",0.000342,0.000368,0.000326,0.000352,"127,389","7,708,160"
SC,"Jan 20, 2017",0.000368,0.000399,0.000336,0.000350,"278,815","8,271,680"
SC,"Jan 19, 2017",0.000365,0.000376,0.000345,0.000368,"139,704","8,191,670"
SC,"Jan 18, 2017",0.000363,0.000373,0.000343,0.000363,"75,732","8,149,460"
SC,"Jan 17, 2017",0.000357,0.000379,0.000352,0.000371,"303,586","7,993,570"
SC,"Jan 16, 2017",0.000351,0.000371,0.000337,0.000357,"242,415","7,844,220"
SC,"Jan 15, 2017",0.000316,0.000387,0.000300,0.000351,"538,389","7,049,460"
SC,"Jan 14, 2017",0.000284,0.000330,0.000284,0.000303,"175,915","6,340,010"
SC,"Jan 13, 2017",0.000265,0.000293,0.000258,0.000284,"75,499","5,913,190"
SC,"Jan 12, 2017",0.000257,0.000279,0.000253,0.000266,"56,279","5,714,840"
SC,"Jan 11, 2017",0.000316,0.000327,0.000249,0.000257,"170,883","7,032,800"
SC,"Jan 10, 2017",0.000333,0.000344,0.000301,0.000316,"165,638","7,399,990"
SC,"Jan 09, 2017",0.000344,0.000358,0.000321,0.000335,"256,685","7,611,160"
SC,"Jan 08, 2017",0.000288,0.000365,0.000270,0.000351,"505,883","6,371,760"
SC,"Jan 07, 2017",0.000250,0.000306,0.000233,0.000288,"187,195","5,526,300"
SC,"Jan 06, 2017",0.000290,0.000291,0.000240,0.000256,"68,197","6,392,490"
SC,"Jan 05, 2017",0.000295,0.000337,0.000244,0.000284,"239,972","6,493,310"
SC,"Jan 04, 2017",0.000253,0.000289,0.000243,0.000285,"128,132","5,564,380"
SC,"Jan 03, 2017",0.000238,0.000254,0.000237,0.000253,"50,171","5,230,440"
SC,"Jan 02, 2017",0.000230,0.000250,0.000229,0.000238,"42,093","5,042,000"
SC,"Jan 01, 2017",0.000242,0.000246,0.000220,0.000230,"43,397","5,289,400"
